sample_id,ml_E0_g_per_L,ml_k_d,fit_E0_g_per_L,fit_k_d,true_E0_g_per_L,true_k_d,ml_E0_g_per_L_mae,ml_k_d_mae,fit_E0_g_per_L_mae,fit_k_d_mae,ml_powder_activity_frac_derived,fit_powder_activity_frac_derived,true_powder_activity_frac_derived,ml_rmse,ml_mae,ml_r2,fit_rmse,fit_mae,fit_r2,true_time_to_thresh,ml_time_to_thresh,fit_time_to_thresh
20,1.0216935735497672,0.003989768193964885,1.015221391672035,0.0018132569390815955,1.01677718001245,0.00030319298937244777,0.004916393537317099,0.0036865752045924377,0.001555788340415143,0.0015100639497091478,1.0,1.0,1.0,0.05058650380931875,0.04874458540539212,0.8481842793601615,0.019799726548351902,0.019119540495936012,0.9767423516367534,3.5725555164443374,3.5758882730442982,3.5766065667865328
21,0.11901069480084758,0.00250819509712668,0.3042736447518731,1.0450930731239973e-19,0.30515614220069076,7.611373887672357e-05,0.18614544739984318,0.002432081358249956,0.0008824974488176873,7.611373887672346e-05,0.12187678177149365,0.31160134525974476,0.3125050955417126,0.2472801347632448,0.2455665434381611,-0.6608847306177423,0.0022778825146172396,0.002133583522428271,0.9998590634368292,8.463461469552584,21.04634262876197,8.48109987997711
22,0.0005,0.0026248236999686114,0.10117749474360235,0.004999999999999999,0.10030045750749264,0.0038354449919969394,0.09980045750749264,0.001210621292028328,0.0008770372361097123,0.0011645550080030599,0.0005556914243922371,0.11244693234102095,0.11147220819906327,1.5366205496893681,1.5333289240460632,-99.93798656294837,0.04018415512992707,0.038498794436112316,0.9309710849827719,10.781235986642793,,10.748753537707417
23,0.4375017714005205,0.0023373239690215463,0.4874611209463493,0.0003615159379827074,0.4908310386575666,0.0031631611315667673,0.05332926725704612,0.000825837162545221,0.0033699177112173073,0.00280164519358406,0.3327448770901102,0.3707417920989642,0.37330480538924926,0.010264675609486035,0.009153245439596369,0.994399387755044,0.05278363484445427,0.05049693005425357,0.8519038955260507,4.118531665348417,4.233874136375498,4.11836111610288
24,0.21428350299721188,0.0025316540230133485,0.2599984597893764,3.818894924679242e-13,0.26379161610360435,0.001970786073440737,0.04950811310639247,0.0005608679495726116,0.003793156314227941,0.0019707860730588476,1.0,1.0,1.0,0.03269412774734138,0.03227648895624225,0.9515785347591232,0.04085688883688306,0.03891336703834812,0.9243813355720796,4.4355673927544155,4.698268751053844,4.446636939395277
25,1.25,0.005,0.8980693908334813,0.0037063333784553786,0.8926664707980395,0.0032726665909220214,0.3573335292019605,0.0017273334090779787,0.005402920035441738,0.0004336667875333572,1.0,0.8272855174881092,0.8223084438420305,0.010168796949832682,0.004850726602916857,0.9937240222987873,0.0034175814466750986,0.003290007850946324,0.9992911081430792,3.399970228423503,3.2460276290969223,3.3974212637033094
26,1.25,0.005,0.7700021531981773,0.0032286720429406195,0.7735637998985894,0.003563972851375913,0.47643620010141063,0.0014360271486240873,0.0035616467004120356,0.0003353008084352933,0.5681143062398722,0.3499593912539123,0.3515781292093332,0.018814671896405524,0.01262069296376018,0.9686823166229409,0.003565305635065325,0.003421578837792336,0.9988754212784224,2.913848658320826,2.6361143855848823,2.9163593142213844
27,1.25,0.005,1.186537586648749,0.00225456858756773,1.186201509810411,0.0014556440573638468,0.06379849018958894,0.003544355942636153,0.0003360768383380286,0.0007989245302038831,1.0,1.0,1.0,0.025856966640055847,0.024882916170099596,0.9558591107453491,0.006130547556005388,0.005936147001663118,0.9975186703829518,3.232330042773608,3.2108557054025515,3.2331463715625612
28,1.25,0.005,1.0632185415029285,0.0016077893219850466,1.0642521826276665,0.0019598769932049898,0.18574781737233348,0.0030401230067950103,0.0010336411247380273,0.0003520876712199432,1.0,0.8602037455736768,0.8610400195214786,0.027688698194875617,0.02621607929016662,0.9274643145636735,0.004247241378506463,0.004078210773202978,0.9982932868639398,2.595936367853859,2.4926139770686584,2.595955453503264
29,0.26080347897427,0.0024772526197754607,0.3876648246462366,0.002093053505885358,0.3829770806471695,0.001237039075361911,0.12217360167289953,0.0012402135444135496,0.004687743999067073,0.000856014430523447,0.21220650590365905,0.315429066450638,0.3116148160482842,0.07253303978004769,0.07203544113059261,0.7602511648465874,0.02070370448330565,0.019504176536755874,0.9804664639379475,4.465599946096594,5.21821551826,4.452509303252395
30,1.25,0.005,1.0955957336147057,0.003059679832231574,1.0762966262227502,0.000690599772570048,0.17370337377724976,0.004309400227429952,0.019299107391955506,0.002369080059661526,0.6353885548091739,0.5569031918692356,0.5470932463053303,0.037664294738236244,0.035849256096067726,0.8914789689727385,0.02410724302112073,0.02315438662825246,0.9555420611946885,3.0434552144597626,2.958021014675236,3.035829723579765
31,0.18600464553009477,0.0025303222700453504,0.3170104278600359,0.0039581683671720954,0.31661022924843674,0.002959015590697052,0.13060558371834197,0.00042869332065170176,0.00040019861159917847,0.0009991527764750432,0.07707893418388777,0.13136675073352594,0.13120091142152368,0.056292222936702795,0.051534273851095026,0.8487460398683673,0.023774996174049854,0.022827750867928195,0.9730194457032559,4.5788240368773305,6.8098060343525315,4.5803288991928905
32,1.25,0.005,1.0705066393688338,0.004999999999877792,1.0668869292782315,0.003688266771430419,0.18311307072176852,0.001311733228569581,0.003619710090602357,0.0013117332284473733,0.7013070133105043,0.6006030511878576,0.5985722287297054,0.0060112975698301254,0.004843180421830998,0.9964548251978796,0.010455511906947483,0.010166895212198001,0.9892751357939658,2.615260554156614,2.538319872594243,2.6151612913163516
33,0.04587161209156165,0.002582193988105918,0.18142272926479028,0.0029012771238856143,0.18167917583480306,0.003039264271654323,0.1358075637432414,0.0004570702835484052,0.0002564465700127805,0.00013798714776870873,0.06365266908616048,0.25174700482619633,0.25210285690801815,0.2785427012484477,0.2717136036353283,-1.7359225818969684,0.005402699404781845,0.005110112211033101,0.9989707002957575,10.737580657346616,43.72910998448152,10.7459520380634
34,1.25,0.005,1.1535479303445677,1.846589034303161e-12,1.1608183491845427,0.0012770229334076594,0.08918165081545726,0.0037229770665923407,0.007270418839975035,0.0012770229315610703,0.7388678099488181,0.6818555463717461,0.6861530491283084,0.030768822701535185,0.02949642614476776,0.9440671397681996,0.009515375795226114,0.009251451863814902,0.9946506974800775,3.4334243413718077,3.3992884923361895,3.43504497647948
35,1.2265925648668834,0.005,0.7030537764504348,0.002976080373683489,0.7057766136659779,0.0032070701978654283,0.5208159512009055,0.0017929298021345718,0.002722837215543117,0.0002309898241819393,1.0,0.7799054516271052,0.7829259255359671,0.019981409916901578,0.011686946780134056,0.9759006456238363,0.002304968245094785,0.00220727996743381,0.9996793117539495,3.5210405680993553,3.2369805321985994,3.522985561033313
36,0.40619424758422995,0.0023562927211416523,0.5672711405465589,0.000930592255426206,0.5720966610511883,0.002055289271791273,0.16590241346695833,0.00030100344935037916,0.004825520504629366,0.0011246970163650673,0.21025491618070816,0.2936317951736105,0.2961295888160937,0.040779961540336265,0.03911089660968768,0.9278825552167216,0.023895309121986154,0.02267707921647246,0.9752387814565097,4.433367665306943,4.85532967740966,4.4394070138666
37,0.37491633450607875,0.0023995781236281787,0.5016998878199896,0.002302863835099502,0.5039812440328728,0.002232711216628785,0.12906490952679406,0.00016686690699939388,0.0022813562128831677,7.015261847071732e-05,0.21980977295340598,0.2941417278544132,0.29547926464602925,0.03293736710916933,0.031575733826975136,0.93154795095833,0.0019078969876023244,0.001876976927366129,0.9997703224553365,3.841218377300068,4.252333252241621,3.8470051861167924
38,0.49807903644000506,0.0026489189204569634,0.4748057960393887,0.0010631642208838912,0.47215149212855556,6.521129396078074e-05,0.025927544311449502,0.002583707626496183,0.0026543039108331556,0.0009979529269231104,0.2037171843240042,0.194198295437621,0.19311266990533613,0.0337727099196678,0.03212629839075585,0.936945970361953,0.012596998195887539,0.012155570415497209,0.9912276659486696,3.7168289251288007,3.6786480396077743,3.7142126244851354
39,0.0005,0.002638422509496611,0.1976094559988167,0.00499999999999656,0.19696093945803053,0.003895179923240734,0.19646093945803053,0.001256757413744123,0.0006485165407861815,0.001104820076755826,0.00023005016637881639,0.09092017646111036,0.09062179378489581,1.946115479573439,1.9422585700681367,-156.7723998630029,0.02945415232698878,0.028374190707936408,0.9638601059958961,6.459602754738694,,6.460458127459148
40,1.25,0.005,0.660887628597431,0.0008140712432504005,0.7891906325825914,0.00448703252308248,0.46080936741740863,0.0005129674769175198,0.12830300398516037,0.00367296127983208,1.0,1.0,1.0,0.02128162024213323,0.0182759684486727,0.9656238451611108,0.02981104022768033,0.028220092936207978,0.9325468586982825,3.166182242979147,2.934799571724097,3.2680882931459214
41,0.44487979466651606,0.0023428839154326173,0.440823218050954,0.0009760958305307003,0.44514121634686066,0.0014580172770734434,0.0002614216803445979,0.0008848666383591739,0.004317998295906678,0.00048192144654274317,0.5843738717477271,0.5790453371383856,0.5847172633814521,0.01642743768597299,0.015727833028934757,0.9849814323761205,0.008155061976202993,0.007703602018391024,0.9962987928772576,3.8879758109263727,3.8906460175471382,3.8962857836263347
42,1.25,0.005,1.0792647085434932,5.535836742725759e-05,1.1006037713639354,0.0018092877993267492,0.1493962286360646,0.0031907122006732506,0.02133906282044218,0.0017539294318994916,0.5779389541865679,0.49899929355687805,0.5088654340766924,0.0184883419197944,0.017636378339051066,0.974735741710426,0.010360280501733819,0.010027954010462359,0.9920667041196858,3.044071868981068,2.9888267400585486,3.051344684682502
43,0.0005,0.002642255523731086,0.15628996079621316,0.0021937813088050363,0.1550215823866074,0.0024574519835812015,0.1545215823866074,0.00018480354014988433,0.0012683784096057527,0.0002636706747761652,0.0003284984507803749,0.10268201998816309,0.10184869930304558,1.4688811507790809,1.4661205529764483,-110.80499433208276,0.009101542014341801,0.008799035633427281,0.9957074254668856,4.837736519196634,,4.820438560964834
